Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,9.236,11.5,8.797,9.236,4.5,8.797,NA,NA,NA
2,Line,0.236,4.5,8.797,0.236,11.5,8.797,NA,NA,NA
3,Line,0.236,13.5,6.797,0.236,13.5,4.803,NA,NA,NA
4,Line,9.236,13.5,4.803,9.236,13.5,6.797,NA,NA,NA
5,Line,9.236,4.5,2.803,9.236,11.5,2.803,NA,NA,NA
6,Line,0.236,11.5,2.803,0.236,4.5,2.803,NA,NA,NA
7,3_point_arc_1,0.236,4.5,8.797,4.736,0.0,8.797,9.236,4.5,8.797
8,3_point_arc_2,9.236,4.5,2.803,4.736,0.0,2.803,0.236,4.5,2.803
9,3_point_arc_3,9.236,11.5,2.803,9.236,12.914,3.388,9.236,13.5,4.803
10,3_point_arc_4,9.236,13.5,6.797,9.236,12.914,8.212,9.236,11.5,8.797
11,3_point_arc_5,0.236,13.5,4.803,0.236,12.914,3.388,0.236,11.5,2.803
12,3_point_arc_6,0.236,13.5,6.797,0.236,12.914,8.212,0.236,11.5,8.797
