Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,3.324,17.187,4.582,3.324,30.0,4.582,NA,NA,NA
2,Line,3.029,0.246,4.582,3.324,17.187,4.582,NA,NA,NA
3,Line,2.392,-0.0,4.582,2.779,0.0,4.582,NA,NA,NA
4,Line,1.901,3.0,4.582,2.143,0.228,4.582,NA,NA,NA
5,Line,1.901,4.75,4.582,1.901,3.0,4.582,NA,NA,NA
6,Line,0.4,5.0,4.582,1.652,5.0,4.582,NA,NA,NA
7,Line,2.803,29.756,4.582,0.4,5.0,4.582,NA,NA,NA
8,Line,3.324,30.0,4.582,3.097,30.0,4.582,NA,NA,NA
9,3_point_arc_1,3.097,30.0,4.582,2.906,29.931,4.582,2.803,29.756,4.582
10,3_point_arc_2,3.029,0.246,4.582,2.954,0.072,4.582,2.779,0.0,4.582
11,3_point_arc_3,2.392,0.0,4.582,2.223,0.066,4.582,2.143,0.228,4.582
12,3_point_arc_4,1.901,4.75,4.582,1.828,4.927,4.582,1.652,5.0,4.582
